"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.88.1","255.255.255.255","MNDP","157","5678  >  5678 Len=115"
"2","0.000033244","Routerbo_1c:8e:13","CDP/VTP/DTP/PAgP/UDLD","CDP","108","Device ID: MikroTik  Port ID: bridge  "
"3","0.671254641","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"4","2.673416528","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"5","4.675574118","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"6","6.677731041","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"7","8.679893515","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"8","9.027605510","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"9","10.046458538","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"10","10.681365425","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"11","11.070459694","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"12","12.094518496","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"13","12.683533969","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"14","13.118458455","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"15","14.142458364","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"16","14.685696397","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"17","16.167640485","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"18","16.687858228","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"19","17.182464668","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"20","18.206458884","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"21","18.690023511","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"22","19.230535050","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"23","20.254454378","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"24","20.691489568","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"25","21.278456076","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"26","22.302485387","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"27","22.693651347","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"28","23.326458710","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"29","24.350453431","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"30","24.695280404","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"31","25.374489036","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"32","26.398455313","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"33","26.697444267","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"34","27.422461147","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"35","28.446568974","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"36","28.699607321","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"37","29.470462973","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"38","30.494457988","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"39","30.701603620","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"40","31.518605493","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"41","32.542461015","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"42","32.703767707","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"43","33.566459039","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"44","34.590587554","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"45","34.705931961","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"46","35.614459006","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"47","36.638459201","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"48","36.708084579","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"49","37.662583182","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"50","38.686459249","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"51","38.710253845","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"52","39.710456656","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"53","40.711729817","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"54","40.734519041","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"55","41.758457343","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"56","42.713897947","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"57","42.782458108","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"58","43.806482504","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"59","44.716053112","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"60","44.830454613","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"61","45.854456221","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"62","46.718217939","Routerbo_1c:8e:17","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8005"
"63","46.878490469","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"64","47.902455040","Netronix_71:74:10","Broadcast","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
