"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"2","2.002265225","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"3","4.004552162","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"4","5.996806310","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"5","7.999078632","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"6","10.001348989","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"7","12.003615146","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"8","13.995883013","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"9","15.998149010","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"10","18.000418698","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"11","20.002695430","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"12","22.004963071","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"13","23.997226414","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"14","25.999489842","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"15","28.001761919","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"16","30.004038106","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"17","31.567885162","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"18","31.567897384","Routerbo_1c:8e:15","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridge51  "
"19","31.567932513","Routerbo_1c:8e:15","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"20","31.996319000","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"21","33.998608780","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"22","36.000876060","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"23","38.003154571","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"24","40.005426924","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"25","42.007695981","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"26","44.009970891","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"27","46.012233985","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"28","48.014511103","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"29","50.006768481","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"30","52.009044942","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"31","54.011324042","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"32","56.013588392","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"33","58.005863101","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"34","60.008137477","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"35","62.010419102","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"36","64.012710210","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"37","66.014965893","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"38","68.006689629","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"39","70.008955127","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"40","72.011234507","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"41","74.013517572","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"42","76.005784662","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"43","78.008052538","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"44","80.010320677","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"45","82.012601020","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"46","84.014884837","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"47","86.007139617","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"48","88.009416624","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"49","90.011680204","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"50","91.568001377","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"51","91.568013320","Routerbo_1c:8e:15","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridge51  "
"52","91.568052919","Routerbo_1c:8e:15","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"53","92.013955708","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"54","94.006233111","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"55","96.008501314","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"56","98.010774457","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"57","100.013044996","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"58","102.015313771","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"59","104.017743994","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"60","106.020144237","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"61","108.022542294","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"62","110.024948852","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"63","112.017346481","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"64","114.019759842","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"65","116.022165989","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"66","118.024576585","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"67","120.016965190","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"68","122.019378886","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"69","124.021769793","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"70","126.024160888","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"71","128.026559713","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"72","130.028941336","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"73","132.031325939","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"74","134.033719809","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"75","136.026092592","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"76","138.028478944","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"77","140.030857171","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"78","142.033251927","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"79","144.025646477","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"80","146.028047960","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"81","148.030450118","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"82","150.032854208","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"83","151.568117027","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"84","151.568129319","Routerbo_1c:8e:15","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridge51  "
"85","151.568161515","Routerbo_1c:8e:15","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"86","152.034609115","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"87","154.027019467","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"88","156.029419573","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"89","158.031812041","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"90","160.034218034","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"91","162.026605938","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"92","164.029021239","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"93","166.031420662","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"94","168.033833328","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
