"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::208:54ff:fe50:312c","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"2","0.000068932","172.16.51.1","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"3","0.399365934","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"4","1.785978885","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"5","1.785992225","Routerbo_1c:8e:15","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridge51  "
"6","1.786033360","Routerbo_1c:8e:15","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"7","2.401578095","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"8","4.403807253","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"9","6.406013390","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"10","8.408235126","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"11","10.410446341","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"12","12.412658488","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"13","14.414878413","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"14","16.417086281","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"15","18.419301017","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"16","20.421512356","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"17","22.423721694","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"18","24.425939298","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"19","26.428151269","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"20","28.430370597","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"21","30.432578286","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"22","32.434791726","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"23","34.437013361","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"24","36.439220842","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"25","38.441437916","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"26","40.443655222","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"27","42.445869479","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"28","44.448086693","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"29","44.510442125","172.16.51.1","172.16.51.255","ICMP","98","Echo (ping) request  id=0x1063, seq=1/256, ttl=64 (no response found!)"
"30","45.529893485","172.16.51.1","172.16.51.255","ICMP","98","Echo (ping) request  id=0x1063, seq=2/512, ttl=64 (no response found!)"
"31","46.450294571","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"32","46.553886320","172.16.51.1","172.16.51.255","ICMP","98","Echo (ping) request  id=0x1063, seq=3/768, ttl=64 (no response found!)"
"33","47.577900741","172.16.51.1","172.16.51.255","ICMP","98","Echo (ping) request  id=0x1063, seq=4/1024, ttl=64 (no response found!)"
"34","48.452519514","Routerbo_1c:8e:15","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:15  Cost = 0  Port = 0x8001"
"35","48.601886185","172.16.51.1","172.16.51.255","ICMP","98","Echo (ping) request  id=0x1063, seq=5/1280, ttl=64 (no response found!)"
