"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=211/54016, ttl=64 (reply in 2)"
"2","0.000139057","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=211/54016, ttl=64 (request in 1)"
"3","0.570424863","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"4","1.024002233","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=212/54272, ttl=64 (reply in 5)"
"5","1.024144292","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=212/54272, ttl=64 (request in 4)"
"6","2.047996385","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=213/54528, ttl=64 (reply in 7)"
"7","2.048137676","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=213/54528, ttl=64 (request in 6)"
"8","2.572873574","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"9","3.072082959","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=214/54784, ttl=64 (reply in 10)"
"10","3.072233050","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=214/54784, ttl=64 (request in 9)"
"11","4.099997480","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=215/55040, ttl=64 (reply in 12)"
"12","4.100140658","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=215/55040, ttl=64 (request in 11)"
"13","4.575334517","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"14","5.120001106","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=216/55296, ttl=64 (reply in 15)"
"15","5.120147635","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=216/55296, ttl=64 (request in 14)"
"16","6.144002605","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=217/55552, ttl=64 (reply in 17)"
"17","6.144131534","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=217/55552, ttl=64 (request in 16)"
"18","6.568075075","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"19","7.168003007","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=218/55808, ttl=64 (reply in 20)"
"20","7.168144578","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=218/55808, ttl=64 (request in 19)"
"21","7.203962663","Netronix_71:74:10","Kye_13:20:0c","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"22","7.204063446","Kye_13:20:0c","Netronix_71:74:10","ARP","60","172.16.50.254 is at 00:c0:df:13:20:0c"
"23","8.191997703","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=219/56064, ttl=64 (reply in 24)"
"24","8.192144512","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=219/56064, ttl=64 (request in 23)"
"25","8.570393838","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"26","9.215993817","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=220/56320, ttl=64 (reply in 27)"
"27","9.216136086","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=220/56320, ttl=64 (request in 26)"
"28","10.239995957","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=221/56576, ttl=64 (reply in 29)"
"29","10.240137877","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=221/56576, ttl=64 (request in 28)"
"30","10.308133931","Kye_13:20:0c","Netronix_71:74:10","ARP","60","Who has 172.16.50.1? Tell 172.16.50.254"
"31","10.308150833","Netronix_71:74:10","Kye_13:20:0c","ARP","42","172.16.50.1 is at 00:08:54:71:74:10"
"32","10.572698293","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"33","11.263994975","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=222/56832, ttl=64 (reply in 34)"
"34","11.264134799","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=222/56832, ttl=64 (request in 33)"
"35","12.288004210","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=223/57088, ttl=64 (reply in 36)"
"36","12.288147038","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=223/57088, ttl=64 (request in 35)"
"37","12.575004012","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"38","13.312001243","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=224/57344, ttl=64 (reply in 39)"
"39","13.312145467","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=224/57344, ttl=64 (request in 38)"
"40","14.335996969","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=225/57600, ttl=64 (reply in 41)"
"41","14.336130717","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=225/57600, ttl=64 (request in 40)"
"42","14.577337258","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"43","15.360019744","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=226/57856, ttl=64 (reply in 44)"
"44","15.360170464","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=226/57856, ttl=64 (request in 43)"
"45","16.383997560","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=227/58112, ttl=64 (reply in 46)"
"46","16.384140737","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=227/58112, ttl=64 (request in 45)"
"47","16.579644388","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"48","17.407998375","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=228/58368, ttl=64 (reply in 49)"
"49","17.408140923","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=228/58368, ttl=64 (request in 48)"
"50","18.431998022","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=229/58624, ttl=64 (reply in 51)"
"51","18.432142945","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=229/58624, ttl=64 (request in 50)"
"52","18.581943214","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"53","19.455993568","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=230/58880, ttl=64 (reply in 54)"
"54","19.456136605","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=230/58880, ttl=64 (request in 53)"
"55","20.479994023","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=231/59136, ttl=64 (reply in 56)"
"56","20.480133847","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=231/59136, ttl=64 (request in 55)"
"57","20.584244141","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"58","21.503997081","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=232/59392, ttl=64 (reply in 59)"
"59","21.504137674","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=232/59392, ttl=64 (request in 58)"
"60","22.527994712","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=233/59648, ttl=64 (reply in 61)"
"61","22.528135514","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=233/59648, ttl=64 (request in 60)"
"62","22.586549194","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"63","23.224812320","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"64","23.224847521","Routerbo_1c:8e:19","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridge50  "
"65","23.224896550","Routerbo_1c:8e:19","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"66","23.552002000","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=234/59904, ttl=64 (reply in 67)"
"67","23.552145247","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=234/59904, ttl=64 (request in 66)"
"68","24.575994920","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=235/60160, ttl=64 (reply in 69)"
"69","24.576138376","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=235/60160, ttl=64 (request in 68)"
"70","24.588867312","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"71","25.599994634","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=236/60416, ttl=64 (reply in 72)"
"72","25.600133132","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=236/60416, ttl=64 (request in 71)"
"73","26.591179217","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"74","26.623994716","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=237/60672, ttl=64 (reply in 75)"
"75","26.624117709","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=237/60672, ttl=64 (request in 74)"
"76","27.651996723","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=238/60928, ttl=64 (reply in 77)"
"77","27.652136269","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=238/60928, ttl=64 (request in 76)"
"78","28.593487075","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"79","28.671996195","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=239/61184, ttl=64 (reply in 80)"
"80","28.672118629","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=239/61184, ttl=64 (request in 79)"
"81","29.695996824","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=240/61440, ttl=64 (reply in 82)"
"82","29.696137626","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=240/61440, ttl=64 (request in 81)"
"83","30.595789419","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"84","30.719994398","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=241/61696, ttl=64 (reply in 85)"
"85","30.720117530","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=241/61696, ttl=64 (request in 84)"
"86","31.743999674","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=242/61952, ttl=64 (reply in 87)"
"87","31.744138102","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=242/61952, ttl=64 (request in 86)"
"88","32.598106920","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"89","32.767994213","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=243/62208, ttl=64 (reply in 90)"
"90","32.768119929","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=243/62208, ttl=64 (request in 89)"
"91","33.792002110","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=244/62464, ttl=64 (reply in 92)"
"92","33.792144170","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=244/62464, ttl=64 (request in 91)"
"93","33.827961574","Netronix_71:74:10","Kye_13:20:0c","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"94","33.828049506","Kye_13:20:0c","Netronix_71:74:10","ARP","60","172.16.50.254 is at 00:c0:df:13:20:0c"
"95","34.600426728","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"96","34.815998711","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=245/62720, ttl=64 (reply in 97)"
"97","34.816127222","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=245/62720, ttl=64 (request in 96)"
"98","35.839996309","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=246/62976, ttl=64 (reply in 99)"
"99","35.840135575","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=246/62976, ttl=64 (request in 98)"
"100","36.602725444","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"101","36.863993297","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=247/63232, ttl=64 (reply in 102)"
"102","36.864121807","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=247/63232, ttl=64 (request in 101)"
"103","37.887995401","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=248/63488, ttl=64 (reply in 104)"
"104","37.888133131","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=248/63488, ttl=64 (request in 103)"
"105","38.605030866","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"106","38.912006883","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=249/63744, ttl=64 (reply in 107)"
"107","38.912147406","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=249/63744, ttl=64 (request in 106)"
"108","39.935996103","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=250/64000, ttl=64 (reply in 109)"
"109","39.936137394","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=250/64000, ttl=64 (request in 108)"
"110","40.597332814","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"111","40.959993373","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=251/64256, ttl=64 (reply in 112)"
"112","40.960129496","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=251/64256, ttl=64 (request in 111)"
"113","41.983994014","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=252/64512, ttl=64 (reply in 114)"
"114","41.984151509","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=252/64512, ttl=64 (request in 113)"
"115","42.599647594","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"116","43.007995232","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=253/64768, ttl=64 (reply in 117)"
"117","43.008128771","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=253/64768, ttl=64 (request in 116)"
"118","44.031995421","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=254/65024, ttl=64 (reply in 119)"
"119","44.032116458","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=254/65024, ttl=64 (request in 118)"
"120","44.601968798","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"121","45.055995347","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=255/65280, ttl=64 (reply in 122)"
"122","45.056138455","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=255/65280, ttl=64 (request in 121)"
"123","46.080006956","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=256/1, ttl=64 (reply in 124)"
"124","46.080138399","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=256/1, ttl=64 (request in 123)"
"125","46.604282109","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"126","47.104002797","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=257/257, ttl=64 (reply in 127)"
"127","47.104143949","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=257/257, ttl=64 (request in 126)"
"128","48.128010809","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=258/513, ttl=64 (reply in 129)"
"129","48.128153148","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=258/513, ttl=64 (request in 128)"
"130","48.606587525","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"131","49.152005498","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=259/769, ttl=64 (reply in 132)"
"132","49.152134637","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=259/769, ttl=64 (request in 131)"
"133","50.176003488","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=260/1025, ttl=64 (reply in 134)"
"134","50.176148341","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=260/1025, ttl=64 (request in 133)"
"135","50.598879545","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"136","51.200003311","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=261/1281, ttl=64 (reply in 137)"
"137","51.200141180","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=261/1281, ttl=64 (request in 136)"
"138","52.223998052","172.16.50.1","172.16.50.254","ICMP","98","Echo (ping) request  id=0x0863, seq=262/1537, ttl=64 (reply in 139)"
"139","52.224137598","172.16.50.254","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0863, seq=262/1537, ttl=64 (request in 138)"
"140","52.601192078","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"141","54.603514316","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"142","56.605826493","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"143","58.597936904","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"144","60.600232518","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"145","62.602545795","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"146","64.604872406","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"147","66.607184623","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"148","68.599576886","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"149","70.602020043","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"150","72.604463471","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"151","74.606924490","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"152","76.599350591","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"153","78.601796994","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"154","80.604222783","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"155","82.606664346","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"156","83.226998122","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"157","83.227037234","Routerbo_1c:8e:19","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridge50  "
"158","83.227085774","Routerbo_1c:8e:19","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"159","84.609070628","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"160","86.611388268","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"161","88.613708340","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"162","90.616010870","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
"163","92.608306133","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8003"
