"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"2","2.002200890","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"3","3.804503286","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"4","3.804536879","Routerbo_1c:8e:13","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridgeY0  "
"5","3.804584021","Routerbo_1c:8e:13","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"6","4.004394984","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"7","6.006612380","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"8","8.008815855","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"9","9.926459145","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=1/256, ttl=64 (reply in 10)"
"10","9.926592609","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=1/256, ttl=64 (request in 9)"
"11","10.011021890","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"12","10.934409392","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=2/512, ttl=64 (reply in 13)"
"13","10.934534755","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=2/512, ttl=64 (request in 12)"
"14","11.958409375","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=3/768, ttl=64 (reply in 15)"
"15","11.958510713","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=3/768, ttl=64 (request in 14)"
"16","12.013214421","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"17","12.982404099","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=4/1024, ttl=64 (reply in 18)"
"18","12.982506066","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=4/1024, ttl=64 (request in 17)"
"19","14.006408649","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=5/1280, ttl=64 (reply in 20)"
"20","14.006507124","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=5/1280, ttl=64 (request in 19)"
"21","14.015411816","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"22","14.954850295","Kye_25:24:5b","Netronix_71:74:10","ARP","60","Who has 172.16.50.1? Tell 172.16.50.254"
"23","14.954871946","Netronix_71:74:10","Kye_25:24:5b","ARP","42","172.16.50.1 is at 00:08:54:71:74:10"
"24","14.998375741","Netronix_71:74:10","Kye_25:24:5b","ARP","42","Who has 172.16.50.254? Tell 172.16.50.1"
"25","14.998467302","Kye_25:24:5b","Netronix_71:74:10","ARP","60","172.16.50.254 is at 00:c0:df:25:24:5b"
"26","15.030407310","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=6/1536, ttl=64 (reply in 27)"
"27","15.030500547","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=6/1536, ttl=64 (request in 26)"
"28","16.017615120","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"29","16.054408673","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=7/1792, ttl=64 (reply in 30)"
"30","16.054526773","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=7/1792, ttl=64 (request in 29)"
"31","17.078407150","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=8/2048, ttl=64 (reply in 32)"
"32","17.078509257","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=8/2048, ttl=64 (request in 31)"
"33","18.019823426","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"34","18.102410354","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=9/2304, ttl=64 (reply in 35)"
"35","18.102510156","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=9/2304, ttl=64 (request in 34)"
"36","19.126406762","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=10/2560, ttl=64 (reply in 37)"
"37","19.126506214","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=10/2560, ttl=64 (request in 36)"
"38","20.021594294","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"39","20.150403705","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=11/2816, ttl=64 (reply in 40)"
"40","20.150530814","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=11/2816, ttl=64 (request in 39)"
"41","21.178405962","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=12/3072, ttl=64 (reply in 42)"
"42","21.178503249","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=12/3072, ttl=64 (request in 41)"
"43","22.023793814","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"44","22.198409467","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=13/3328, ttl=64 (reply in 45)"
"45","22.198509828","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=13/3328, ttl=64 (request in 44)"
"46","22.874930666","fe80::208:54ff:fe71:7410","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"47","22.875004906","172.16.50.1","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"48","23.226406161","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=14/3584, ttl=64 (reply in 49)"
"49","23.226506382","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=14/3584, ttl=64 (request in 48)"
"50","24.025990440","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"51","24.246403475","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=15/3840, ttl=64 (reply in 52)"
"52","24.246505162","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=15/3840, ttl=64 (request in 51)"
"53","25.270404356","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=16/4096, ttl=64 (reply in 54)"
"54","25.270524760","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=16/4096, ttl=64 (request in 53)"
"55","26.028207430","Routerbo_1c:8e:13","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:13  Cost = 0  Port = 0x8001"
"56","26.294401442","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=17/4352, ttl=64 (reply in 57)"
"57","26.294504247","172.16.51.253","172.16.50.1","ICMP","98","Echo (ping) reply    id=0x0fce, seq=17/4352, ttl=64 (request in 56)"
"58","27.318417920","172.16.50.1","172.16.51.253","ICMP","98","Echo (ping) request  id=0x0fce, seq=18/4608, ttl=64 (reply in 59)"
