"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"2","2.002247004","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"3","4.004507906","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"4","6.006331881","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"5","8.008594599","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"6","10.010417526","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"7","12.012662784","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"8","14.014921870","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"9","16.016744937","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"10","18.019011217","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"11","20.020853979","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"12","22.023099237","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"13","24.025358393","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"14","26.027186558","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"15","28.029441873","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"16","30.031274858","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"17","32.033526680","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"18","34.035785278","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"19","36.037613792","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"20","38.039871272","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"21","40.041708796","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"22","42.043958384","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"23","44.046220963","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"24","46.048050734","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"25","46.274036106","0.0.0.0","255.255.255.255","MNDP","159","5678  >  5678 Len=117"
"26","46.274064880","Routerbo_1c:8e:19","CDP/VTP/DTP/PAgP/UDLD","CDP","93","Device ID: MikroTik  Port ID: bridgeY1  "
"27","46.274111674","Routerbo_1c:8e:19","LLDP_Multicast","LLDP","110","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 6.43.16 (long-term) CRS326-24G-2S+ "
"28","48.050315129","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"29","50.052147904","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"30","52.054396933","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"31","54.056657206","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"32","56.058482857","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"33","58.060741455","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"34","60.062576604","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"35","62.064830941","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"36","64.067087304","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"37","66.068909253","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"38","68.071167711","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"39","70.073423864","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"40","72.075255801","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"41","74.077514608","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"42","76.079754627","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"43","78.082007986","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"44","80.084276920","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"45","82.086522876","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"46","84.088773581","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"47","86.091021074","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"48","88.093270173","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"49","90.095021234","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"50","92.097271590","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"51","94.099529139","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"52","96.101775934","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"53","98.104033274","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"54","100.105608404","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
"55","102.107861414","Routerbo_1c:8e:1b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8e:19  Cost = 0  Port = 0x8002"
