"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"2","2.001997458","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"3","4.003605768","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"4","4.190849393","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=1/256, ttl=64 (reply in 5)"
"5","4.191352532","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=1/256, ttl=63 (request in 4)"
"6","5.194590113","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=2/512, ttl=64 (reply in 7)"
"7","5.194871714","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=2/512, ttl=63 (request in 6)"
"8","6.005728961","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"9","6.218582110","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=3/768, ttl=64 (reply in 10)"
"10","6.218868251","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=3/768, ttl=63 (request in 9)"
"11","7.242585983","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=4/1024, ttl=64 (reply in 12)"
"12","7.242885673","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=4/1024, ttl=63 (request in 11)"
"13","8.007842036","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"14","8.266585668","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=5/1280, ttl=64 (reply in 15)"
"15","8.266869574","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=5/1280, ttl=63 (request in 14)"
"16","9.139776843","fe80::2c0:dfff:fe25:4066","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"17","9.139851294","172.16.60.1","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"18","9.290549876","Kye_25:40:66","3Com_a1:35:69","ARP","42","Who has 172.16.60.254? Tell 172.16.60.1"
"19","9.290605191","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=6/1536, ttl=64 (reply in 21)"
"20","9.290660854","3Com_a1:35:69","Kye_25:40:66","ARP","60","172.16.60.254 is at 00:01:02:a1:35:69"
"21","9.290854316","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=6/1536, ttl=63 (request in 19)"
"22","9.325039761","3Com_a1:35:69","Kye_25:40:66","ARP","60","Who has 172.16.60.1? Tell 172.16.60.254"
"23","9.325049819","Kye_25:40:66","3Com_a1:35:69","ARP","42","172.16.60.1 is at 00:c0:df:25:40:66"
"24","10.009931236","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"25","10.314585325","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=7/1792, ttl=64 (reply in 26)"
"26","10.314874679","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=7/1792, ttl=63 (request in 25)"
"27","11.338584878","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=8/2048, ttl=64 (reply in 28)"
"28","11.338869273","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=8/2048, ttl=63 (request in 27)"
"29","12.012064934","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"30","12.362599869","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=9/2304, ttl=64 (reply in 31)"
"31","12.362919953","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=9/2304, ttl=63 (request in 30)"
"32","13.386601033","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=10/2560, ttl=64 (reply in 33)"
"33","13.386880539","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=10/2560, ttl=63 (request in 32)"
"34","14.014064546","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"35","14.410594727","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=11/2816, ttl=64 (reply in 36)"
"36","14.410879541","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=11/2816, ttl=63 (request in 35)"
"37","15.434589262","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=12/3072, ttl=64 (reply in 38)"
"38","15.434875543","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=12/3072, ttl=63 (request in 37)"
"39","16.016178080","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"40","16.458588479","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=13/3328, ttl=64 (reply in 41)"
"41","16.458872105","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=13/3328, ttl=63 (request in 40)"
"42","17.486670289","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=14/3584, ttl=64 (reply in 43)"
"43","17.486971027","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=14/3584, ttl=63 (request in 42)"
"44","18.018188537","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"45","18.506587268","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=15/3840, ttl=64 (reply in 46)"
"46","18.506866565","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=15/3840, ttl=63 (request in 45)"
"47","19.530588169","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=16/4096, ttl=64 (reply in 48)"
"48","19.530878919","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=16/4096, ttl=63 (request in 47)"
"49","20.010296649","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"50","20.554588862","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=17/4352, ttl=64 (reply in 51)"
"51","20.554886178","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=17/4352, ttl=63 (request in 50)"
"52","21.578585367","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=18/4608, ttl=64 (reply in 53)"
"53","21.578899445","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=18/4608, ttl=63 (request in 52)"
"54","22.012301957","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"55","22.602591024","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=19/4864, ttl=64 (reply in 56)"
"56","22.602886175","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=19/4864, ttl=63 (request in 55)"
"57","23.626597801","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=20/5120, ttl=64 (reply in 58)"
"58","23.626877587","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=20/5120, ttl=63 (request in 57)"
"59","24.014471053","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"60","24.650586143","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=21/5376, ttl=64 (reply in 61)"
"61","24.650865439","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=21/5376, ttl=63 (request in 60)"
"62","25.674589782","172.16.60.1","172.16.61.254","ICMP","98","Echo (ping) request  id=0x0ec0, seq=22/5632, ttl=64 (reply in 63)"
"63","25.674863212","172.16.61.254","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0ec0, seq=22/5632, ttl=63 (request in 62)"
"64","26.016432939","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
