"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"2","2.001652415","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"3","4.004190567","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"4","4.913230906","0.0.0.0","255.255.255.255","MNDP","182","5678  >  5678 Len=140"
"5","4.913261218","Routerbo_1c:9f:50","CDP/VTP/DTP/PAgP/UDLD","CDP","116","Device ID: MikroTik  Port ID: bridge30/ether3  "
"6","4.913335390","Routerbo_1c:9f:50","LLDP_Multicast","LLDP","133","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 7.2.3 (stable) May/02/2022 15:18:17 CRS326-24G-2S+ "
"7","6.006255537","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"8","6.983162403","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=1/256, ttl=64 (reply in 9)"
"9","6.983685660","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=1/256, ttl=62 (request in 8)"
"10","8.000981642","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=2/512, ttl=64 (reply in 11)"
"11","8.001424161","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=2/512, ttl=62 (request in 10)"
"12","8.007933722","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"13","9.025041968","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=3/768, ttl=64 (reply in 14)"
"14","9.025461998","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=3/768, ttl=62 (request in 13)"
"15","10.010421795","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"16","10.048977067","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=4/1024, ttl=64 (reply in 17)"
"17","10.049473645","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=4/1024, ttl=62 (request in 16)"
"18","11.072978447","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=5/1280, ttl=64 (reply in 19)"
"19","11.073478376","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=5/1280, ttl=62 (request in 18)"
"20","12.011625542","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"21","12.096979966","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=6/1536, ttl=64 (reply in 22)"
"22","12.097460340","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=6/1536, ttl=62 (request in 21)"
"23","13.120982043","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=7/1792, ttl=64 (reply in 24)"
"24","13.121408499","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=7/1792, ttl=62 (request in 23)"
"25","14.014577155","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"26","14.144980140","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=8/2048, ttl=64 (reply in 27)"
"27","14.145417980","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=8/2048, ttl=62 (request in 26)"
"28","15.168979772","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=9/2304, ttl=64 (reply in 29)"
"29","15.169413561","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=9/2304, ttl=62 (request in 28)"
"30","16.016649526","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"31","16.192991278","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=10/2560, ttl=64 (reply in 32)"
"32","16.193440921","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=10/2560, ttl=62 (request in 31)"
"33","17.216980085","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0ac1, seq=11/2816, ttl=64 (reply in 34)"
"34","17.217414712","172.16.1.10","172.16.30.1","ICMP","98","Echo (ping) reply    id=0x0ac1, seq=11/2816, ttl=62 (request in 33)"
"35","18.017912288","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
