"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=22/5632, ttl=64 (no response found!)"
"2","0.570032954","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"3","1.023992564","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=23/5888, ttl=64 (no response found!)"
"4","2.047999096","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=24/6144, ttl=64 (no response found!)"
"5","2.562093853","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"6","3.071983489","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=25/6400, ttl=64 (no response found!)"
"7","4.095985970","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=26/6656, ttl=64 (no response found!)"
"8","4.564150481","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"9","5.119982864","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=27/6912, ttl=64 (no response found!)"
"10","6.147993233","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=28/7168, ttl=64 (no response found!)"
"11","6.566206689","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"12","7.167980493","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=29/7424, ttl=64 (no response found!)"
"13","8.191980389","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=30/7680, ttl=64 (no response found!)"
"14","8.568282243","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"15","9.215982591","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=31/7936, ttl=64 (no response found!)"
"16","10.239980043","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=32/8192, ttl=64 (no response found!)"
"17","10.570359962","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"18","11.264002429","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=33/8448, ttl=64 (no response found!)"
"19","12.287981093","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=34/8704, ttl=64 (no response found!)"
"20","12.562538125","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"21","13.311982386","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=35/8960, ttl=64 (no response found!)"
"22","14.339982627","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=36/9216, ttl=64 (no response found!)"
"23","14.564215997","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"24","15.359979315","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=37/9472, ttl=64 (no response found!)"
"25","16.384000862","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=38/9728, ttl=64 (no response found!)"
"26","16.566748038","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"27","17.407981831","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=39/9984, ttl=64 (no response found!)"
"28","18.431980190","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=40/10240, ttl=64 (no response found!)"
"29","18.568850060","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"30","19.455998245","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=41/10496, ttl=64 (no response found!)"
"31","20.480004985","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=42/10752, ttl=64 (no response found!)"
"32","20.570919117","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
"33","21.504007675","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=43/11008, ttl=64 (no response found!)"
"34","22.527987875","172.16.30.1","172.16.1.10","ICMP","98","Echo (ping) request  id=0x0b3b, seq=44/11264, ttl=64 (no response found!)"
"35","22.572901639","Routerbo_1c:9f:50","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:9f:50  Cost = 0  Port = 0x0001"
