"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=9/2304, ttl=64 (reply in 2)"
"2","0.000143595","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=9/2304, ttl=64 (request in 1)"
"3","1.024001994","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=10/2560, ttl=64 (reply in 4)"
"4","1.024146217","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=10/2560, ttl=64 (request in 3)"
"5","1.069170103","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"6","2.048007346","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=11/2816, ttl=64 (reply in 7)"
"7","2.048149474","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=11/2816, ttl=64 (request in 6)"
"8","3.071565997","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"9","3.072008932","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=12/3072, ttl=64 (reply in 10)"
"10","3.072130456","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=12/3072, ttl=64 (request in 9)"
"11","4.096012061","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=13/3328, ttl=64 (reply in 12)"
"12","4.096165712","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=13/3328, ttl=64 (request in 11)"
"13","5.073716910","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"14","5.120010096","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=14/3584, ttl=64 (reply in 15)"
"15","5.120142725","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=14/3584, ttl=64 (request in 14)"
"16","6.144007649","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=15/3840, ttl=64 (reply in 17)"
"17","6.144147472","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=15/3840, ttl=64 (request in 16)"
"18","7.075879507","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"19","7.168006534","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=16/4096, ttl=64 (reply in 20)"
"20","7.168142795","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=16/4096, ttl=64 (request in 19)"
"21","8.192003050","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=17/4352, ttl=64 (reply in 22)"
"22","8.192137076","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=17/4352, ttl=64 (request in 21)"
"23","9.078022641","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"24","9.215994823","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=18/4608, ttl=64 (reply in 25)"
"25","9.216155040","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=18/4608, ttl=64 (request in 24)"
"26","10.240003154","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=19/4864, ttl=64 (reply in 27)"
"27","10.240147167","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=19/4864, ttl=64 (request in 26)"
"28","11.080145193","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"29","11.263999338","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=20/5120, ttl=64 (reply in 30)"
"30","11.264138532","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=20/5120, ttl=64 (request in 29)"
"31","12.288002023","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=21/5376, ttl=64 (reply in 32)"
"32","12.288139332","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=21/5376, ttl=64 (request in 31)"
"33","13.082261411","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"34","13.312004784","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=22/5632, ttl=64 (reply in 35)"
"35","13.312138880","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=22/5632, ttl=64 (request in 34)"
"36","14.336007480","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=23/5888, ttl=64 (reply in 37)"
"37","14.336164763","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=23/5888, ttl=64 (request in 36)"
"38","14.496657764","fe80::201:2ff:fea1:3569","ff02::2","ICMPv6","70","Router Solicitation from 00:01:02:a1:35:69"
"39","15.084391549","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"40","15.360007738","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=24/6144, ttl=64 (reply in 41)"
"41","15.360144138","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=24/6144, ttl=64 (request in 40)"
"42","16.384008979","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=25/6400, ttl=64 (reply in 43)"
"43","16.384153201","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=25/6400, ttl=64 (request in 42)"
"44","17.086571297","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"45","17.408001844","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=26/6656, ttl=64 (reply in 46)"
"46","17.408159477","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=26/6656, ttl=64 (request in 45)"
"47","18.431990036","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=27/6912, ttl=64 (reply in 48)"
"48","18.432128881","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=27/6912, ttl=64 (request in 47)"
"49","19.088170892","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"50","19.456006729","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=28/7168, ttl=64 (reply in 51)"
"51","19.456173091","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=28/7168, ttl=64 (request in 50)"
"52","20.480004709","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=29/7424, ttl=64 (reply in 53)"
"53","20.480144811","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=29/7424, ttl=64 (request in 52)"
"54","21.090833286","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"55","21.503989146","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=30/7680, ttl=64 (reply in 56)"
"56","21.504124499","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=30/7680, ttl=64 (request in 55)"
"57","22.528002783","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=31/7936, ttl=64 (reply in 58)"
"58","22.528171729","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=31/7936, ttl=64 (request in 57)"
"59","23.092952824","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"60","23.552006437","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=32/8192, ttl=64 (reply in 61)"
"61","23.552147307","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=32/8192, ttl=64 (request in 60)"
"62","24.576004161","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=33/8448, ttl=64 (reply in 63)"
"63","24.576164098","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=33/8448, ttl=64 (request in 62)"
"64","25.095097666","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"65","25.600003636","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=34/8704, ttl=64 (reply in 66)"
"66","25.600147928","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=34/8704, ttl=64 (request in 65)"
"67","26.624016805","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=35/8960, ttl=64 (reply in 68)"
"68","26.624162355","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=35/8960, ttl=64 (request in 67)"
"69","27.097281360","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"70","27.648009656","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=36/9216, ttl=64 (reply in 71)"
"71","27.648151784","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=36/9216, ttl=64 (request in 70)"
"72","28.672008449","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=37/9472, ttl=64 (reply in 73)"
"73","28.672150297","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=37/9472, ttl=64 (request in 72)"
"74","29.099390834","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"75","29.696008715","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=38/9728, ttl=64 (reply in 76)"
"76","29.696175776","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=38/9728, ttl=64 (request in 75)"
"77","30.386038720","0.0.0.0","255.255.255.255","MNDP","182","5678  >  5678 Len=140"
"78","30.386094104","Routerbo_1c:8b:e3","CDP/VTP/DTP/PAgP/UDLD","CDP","116","Device ID: MikroTik  Port ID: bridge60/ether1  "
"79","30.386193489","Routerbo_1c:8b:e3","LLDP_Multicast","LLDP","133","TTL = 120 System Name = MikroTik System Description = MikroTik RouterOS 7.1.1 (stable) Dec/21/2021 11:53:05 CRS326-24G-2S+ "
"80","30.724008041","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=39/9984, ttl=64 (reply in 81)"
"81","30.724151006","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=39/9984, ttl=64 (request in 80)"
"82","31.101523167","Routerbo_1c:8b:e3","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/c4:ad:34:1c:8b:e3  Cost = 0  Port = 0x0001"
"83","31.744006747","172.16.60.1","172.16.61.253","ICMP","98","Echo (ping) request  id=0x0d85, seq=40/10240, ttl=64 (reply in 84)"
"84","31.744138189","172.16.61.253","172.16.60.1","ICMP","98","Echo (ping) reply    id=0x0d85, seq=40/10240, ttl=64 (request in 83)"
"85","32.473311928","fe80::2c0:dfff:fe25:4066","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
