"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"2","2.002176931","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"3","4.004297757","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"4","6.006512150","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"5","8.008683778","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"6","8.848815012","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=1/256, ttl=64 (reply in 7)"
"7","8.849288125","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=1/256, ttl=63 (request in 6)"
"8","9.867536066","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=2/512, ttl=64 (reply in 10)"
"9","9.867739936","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"10","9.867964340","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=2/512, ttl=63 (request in 8)"
"11","10.009940026","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"12","10.891534785","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=3/768, ttl=64 (reply in 14)"
"13","10.891731113","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"14","10.891978355","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=3/768, ttl=63 (request in 12)"
"15","11.915534425","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=4/1024, ttl=64 (reply in 17)"
"16","11.915735501","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"17","11.915958439","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=4/1024, ttl=63 (request in 15)"
"18","12.012373587","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"19","12.939535823","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=5/1280, ttl=64 (reply in 21)"
"20","12.939735502","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"21","12.939954878","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=5/1280, ttl=63 (request in 19)"
"22","13.948823150","3Com_a0:fe:ae","3Com_a0:f9:60","ARP","60","Who has 172.16.31.1? Tell 172.16.31.253"
"23","13.948851925","3Com_a0:f9:60","3Com_a0:fe:ae","ARP","42","172.16.31.1 is at 00:01:02:a0:f9:60"
"24","13.963529410","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=6/1536, ttl=64 (reply in 26)"
"25","13.963682994","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"26","13.963902579","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=6/1536, ttl=63 (request in 24)"
"27","14.014562607","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"28","14.858432642","Routerbo_ea:74:a5","3Com_a0:f9:60","ARP","60","Who has 172.16.31.1? Tell 172.16.31.254"
"29","14.858456458","3Com_a0:f9:60","Routerbo_ea:74:a5","ARP","42","172.16.31.1 is at 00:01:02:a0:f9:60"
"30","14.987536210","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=7/1792, ttl=64 (reply in 31)"
"31","14.987898833","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=7/1792, ttl=63 (request in 30)"
"32","16.011601551","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=8/2048, ttl=64 (reply in 34)"
"33","16.011810799","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"34","16.012031711","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=8/2048, ttl=63 (request in 32)"
"35","16.016743361","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"36","17.035547682","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=9/2304, ttl=64 (reply in 37)"
"37","17.035914355","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=9/2304, ttl=63 (request in 36)"
"38","18.018961945","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"39","18.027503901","3Com_a0:f9:60","Routerbo_ea:74:a5","ARP","42","Who has 172.16.31.254? Tell 172.16.31.1"
"40","18.027651897","Routerbo_ea:74:a5","3Com_a0:f9:60","ARP","60","172.16.31.254 is at 74:4d:28:ea:74:a5"
"41","18.059541177","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=10/2560, ttl=64 (reply in 42)"
"42","18.059935578","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=10/2560, ttl=63 (request in 41)"
"43","19.087533871","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=11/2816, ttl=64 (reply in 45)"
"44","19.087730268","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"45","19.087955371","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=11/2816, ttl=63 (request in 43)"
"46","20.021156968","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"47","20.107535468","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=12/3072, ttl=64 (reply in 48)"
"48","20.107912828","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=12/3072, ttl=63 (request in 47)"
"49","21.131535705","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=13/3328, ttl=64 (reply in 50)"
"50","21.131948544","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=13/3328, ttl=63 (request in 49)"
"51","22.023355249","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"52","22.155535743","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=14/3584, ttl=64 (reply in 53)"
"53","22.155915757","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=14/3584, ttl=63 (request in 52)"
"54","23.179536352","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=15/3840, ttl=64 (reply in 55)"
"55","23.179938436","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=15/3840, ttl=63 (request in 54)"
"56","24.024798437","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"57","24.203537602","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=16/4096, ttl=64 (reply in 58)"
"58","24.203925507","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=16/4096, ttl=63 (request in 57)"
"59","25.227528735","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=17/4352, ttl=64 (reply in 61)"
"60","25.227716542","172.16.31.254","172.16.31.1","ICMP","126","Redirect             (Redirect for host)"
"61","25.227916850","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=17/4352, ttl=63 (request in 59)"
"62","26.027772269","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"63","26.251536503","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=18/4608, ttl=64 (reply in 64)"
"64","26.251936212","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=18/4608, ttl=63 (request in 63)"
"65","27.275538555","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=19/4864, ttl=64 (reply in 66)"
"66","27.275924505","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=19/4864, ttl=63 (request in 65)"
"67","28.029976550","Routerbo_1c:9f:4f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/74:4d:28:ea:74:a5  Cost = 10  Port = 0x0001"
"68","28.299535660","172.16.31.1","172.16.30.1","ICMP","98","Echo (ping) request  id=0x0878, seq=20/5120, ttl=64 (reply in 69)"
"69","28.299957020","172.16.30.1","172.16.31.1","ICMP","98","Echo (ping) reply    id=0x0878, seq=20/5120, ttl=63 (request in 68)"
