"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.227.20.33","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0db0, seq=43/11008, ttl=64 (reply in 2)"
"2","0.016915122","142.250.200.142","10.227.20.33","ICMP","98","Echo (ping) reply    id=0x0db0, seq=43/11008, ttl=112 (request in 1)"
"3","0.101345254","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.1? Tell 192.168.109.113"
"4","0.158944154","10.227.20.33","194.210.238.81","TCP","66","54766  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4031832653 TSecr=3565058740"
"5","0.159267313","194.210.238.81","10.227.20.33","TCP","66","[TCP ACKed unseen segment] 80  >  54766 [ACK] Seq=1 Ack=2 Win=1040 Len=0 TSval=3565058781 TSecr=4031832653"
"6","0.366377846","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.126? Tell 192.168.109.123"
"7","0.366385669","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.125? Tell 192.168.109.123"
"8","0.366387554","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.124? Tell 192.168.109.123"
"9","0.366389300","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.122? Tell 192.168.109.123"
"10","0.366391186","f0:2f:74:2e:20:7c","Broadcast","ARP","60","Who has 192.168.109.121? Tell 192.168.109.123"
"11","0.414941417","10.227.20.33","194.210.238.74","TCP","66","55944  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3059850575 TSecr=2276348090"
"12","0.415209820","194.210.238.74","10.227.20.33","TCP","66","[TCP ACKed unseen segment] 80  >  55944 [ACK] Seq=1 Ack=2 Win=1040 Len=0 TSval=2276348131 TSecr=3059850575"
"13","0.595916277","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.116? Tell 192.168.109.113"
"14","0.595926194","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.115? Tell 192.168.109.113"
"15","0.595928359","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.114? Tell 192.168.109.113"
"16","0.595930175","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.112? Tell 192.168.109.113"
"17","0.595931991","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.111? Tell 192.168.109.113"
"18","1.000996831","10.227.20.33","142.250.200.142","ICMP","98","Echo (ping) request  id=0x0db0, seq=44/11264, ttl=64 (reply in 19)"
"19","1.017909229","142.250.200.142","10.227.20.33","ICMP","98","Echo (ping) reply    id=0x0db0, seq=44/11264, ttl=112 (request in 18)"
"20","1.131208304","AsustekC_b3:e9:e8","Broadcast","ARP","60","Who has 192.168.109.1? Tell 192.168.109.113"
"21","1.163750451","d4:77:98:37:79:0b","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"22","1.438947092","10.227.20.33","142.250.178.163","TCP","66","44796  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2245305606 TSecr=1753020889"
"23","1.439231209","142.250.178.163","10.227.20.33","TCP","66","[TCP ACKed unseen segment] 80  >  44796 [ACK] Seq=1 Ack=2 Win=1040 Len=0 TSval=1753020930 TSecr=2245305606"
"24","1.591398028","10.227.20.33","10.227.20.3","DNS","86","Standard query 0xca67 PTR 93.243.107.34.in-addr.arpa"
"25","1.591856052","10.227.20.3","10.227.20.33","DNS","138","Standard query response 0xca67 PTR 93.243.107.34.in-addr.arpa PTR 93.243.107.34.bc.googleusercontent.com"
"26","1.592091560","10.227.20.33","10.227.20.3","DNS","86","Standard query 0x3940 PTR 82.221.107.34.in-addr.arpa"
"27","1.592468707","10.227.20.3","10.227.20.33","DNS","138","Standard query response 0x3940 PTR 82.221.107.34.in-addr.arpa PTR 82.221.107.34.bc.googleusercontent.com"
"28","1.592582689","10.227.20.33","10.227.20.3","DNS","87","Standard query 0xe1ed PTR 81.238.210.194.in-addr.arpa"
"29","1.592862686","10.227.20.3","10.227.20.33","DNS","117","Standard query response 0xe1ed PTR 81.238.210.194.in-addr.arpa PTR cache.akamai.com"
"30","1.592972967","10.227.20.33","10.227.20.3","DNS","87","Standard query 0x84d9 PTR 74.238.210.194.in-addr.arpa"
